date,total_trades,winners,losers,pnl,win_rate,longs,shorts,avg_pnl,cumulative_pnl,week
2025-11-01,1,0,1,-16.56597173639294,0.0,1,0,-16.56597173639294,-16.56597173639294,44
2025-11-02,1,0,1,-14.207503793277851,0.0,1,0,-14.207503793277851,-30.77347552967079,44
2025-11-03,7,6,1,340.33724241856805,85.71428571428571,1,6,48.61960605979544,309.56376688889725,45
2025-11-04,3,1,2,-7.724204330251695,33.33333333333333,0,3,-2.574734776750565,301.8395625586455,45
2025-11-05,1,0,1,-46.80472282699706,0.0,0,1,-46.80472282699706,255.03483973164847,45
2025-11-06,6,1,5,-66.85788186761995,16.666666666666664,0,6,-11.142980311269993,188.1769578640285,45
2025-11-07,3,3,0,347.0147440378282,100.0,3,0,115.67158134594274,535.1917019018567,45
2025-11-08,1,0,1,-56.37431318681315,0.0,1,0,-56.37431318681315,478.8173887150436,45
2025-11-09,1,1,0,49.140252454418,100.0,1,0,49.140252454418,527.9576411694616,45
2025-11-10,2,0,2,-47.751947142265315,0.0,2,0,-23.875973571132658,480.2056940271963,46
2025-11-11,2,1,1,-8.848991616467982,50.0,1,1,-4.424495808233991,471.3567024107283,46
2025-11-12,2,1,1,23.454383333805172,50.0,0,2,11.727191666902586,494.8110857445335,46
2025-11-13,2,2,0,108.00641835905614,100.0,0,2,54.00320917952807,602.8175041035896,46
2025-11-14,3,1,2,0.24940639207171778,33.33333333333333,0,3,0.08313546402390593,603.0669104956613,46
2025-11-16,1,0,1,-22.4216512971403,0.0,0,1,-22.4216512971403,580.645259198521,46
2025-11-17,3,1,2,-46.510992637245444,33.33333333333333,0,3,-15.503664212415147,534.1342665612756,47
2025-11-19,4,2,2,50.4588863738176,50.0,0,4,12.6147215934544,584.5931529350931,47
2025-11-20,2,0,2,-48.744418182248,0.0,2,0,-24.372209091124,535.8487347528452,47
2025-11-21,5,2,3,75.48221434532819,40.0,0,5,15.096442869065637,611.3309490981734,47
2025-11-23,1,0,1,-16.299458921574725,0.0,0,1,-16.299458921574725,595.0314901765987,47
2025-11-24,1,0,1,-19.639315230224295,0.0,0,1,-19.639315230224295,575.3921749463744,48
2025-11-25,3,1,2,7.152119295867486,33.33333333333333,1,2,2.384039765289162,582.5442942422419,48
2025-11-26,2,1,1,-14.07279008329789,50.0,1,1,-7.036395041648945,568.471504158944,48
2025-11-27,2,1,1,-12.132935771526455,50.0,2,0,-6.0664678857632275,556.3385683874175,48
2025-11-28,5,3,2,67.57863011353575,60.0,2,3,13.51572602270715,623.9171985009532,48
2025-11-29,2,0,2,-23.90552641084826,0.0,0,2,-11.95276320542413,600.011672090105,48
2025-11-30,1,0,1,-5.382702932426698,0.0,1,0,-5.382702932426698,594.6289691576783,48
2025-12-01,1,0,1,-1.0,0.0,0,1,-1.0,593.6289691576783,49
