tp_mult,sl_mult,rr_ratio,trades,win_rate,pnl,profit_factor,avg_per_trade
1.0,1.3,0.7692307692307692,617,59.967585089141004,94.44585029355306,1.0196265551475303,0.1530726909133761
1.3,1.3,1.0,607,54.69522240527183,539.1643651606812,1.1019794751763357,0.8882444236584534
1.5,1.3,1.1538461538461537,597,50.9212730318258,560.2165334822823,1.0992784255441013,0.9383861532366539
1.8,1.3,1.3846153846153846,586,48.122866894197955,1275.106868473811,1.221006321273552,2.1759502874979706
2.0,1.3,1.5384615384615383,583,45.79759862778731,1331.2512335176748,1.2208454826135904,2.2834498002018435
2.2,1.3,1.6923076923076923,577,44.194107452339686,1683.4061841867765,1.2741921916693277,2.9175150505836682
2.5,1.3,1.923076923076923,561,41.711229946524064,1857.8163586559185,1.298119637089598,3.311615612577395
2.8,1.3,2.1538461538461537,545,38.899082568807344,1886.2422601406008,1.2981877575182261,3.4609949727350475
3.0,1.3,2.3076923076923075,535,37.38317757009346,2055.292274946719,1.3254383767959208,3.841667803638727
3.5,1.3,2.692307692307692,518,33.97683397683397,2419.498026775955,1.381976222055175,4.670845611536593
4.0,1.3,3.0769230769230766,507,31.163708086785007,2182.1614910670296,1.3350113218898243,4.304066057331419
4.5,1.3,3.4615384615384612,494,27.125506072874494,1549.1036490867511,1.2318561752788262,3.1358373463294558
5.0,1.3,3.846153846153846,484,25.413223140495866,1722.8959831764223,1.2563250915994482,3.559702444579385
6.0,1.3,4.615384615384615,460,23.47826086956522,2085.893611990911,1.319057616314009,4.534551330415024
